ID,DEVICETYPE,PLATFORM_ID,BIDREQUESTIP,USERPLATFORMUID,USERCITY,USERZIPCODE,USERAGENT,PLATFORMTYPE,CHANNELTYPE,URL,KEYWORDS,TAXONOMY
2.0,0.0,2.0,12371.0,935.0,858.0,28305.0,1230.0,3.0,0.0,545.0,326.0,Unknown
3.0,1.0,2.0,6273.0,14094.0,560.0,16316.0,2119.0,3.0,0.0,2279.0,354.0,Unknown
4.0,0.0,2.0,2996.0,4194.0,593.0,91724.0,1328.0,3.0,0.0,2305.0,0.0,Unknown
5.0,0.0,7.0,10011.0,4308.0,324.0,11226.0,1356.0,3.0,0.0,793.0,412.0,Unknown
6.0,0.0,2.0,11872.0,16652.0,1610.0,30062.0,1443.0,3.0,0.0,2507.0,878.0,Unknown
7.0,0.0,2.0,2858.0,220.0,1314.0,64113.0,1515.0,3.0,0.0,2517.0,3.0,Unknown
8.0,0.0,9.0,8424.0,14505.0,3060.0,18302395.803164296,1030.0,3.0,0.0,299.0,1662.0,Unknown
9.0,0.0,2.0,7762.0,10075.0,2470.0,98188.0,1531.0,3.0,0.0,419.0,362.0,Unknown
10.0,0.0,2.0,5532.0,1310.0,2462.0,85260.0,1520.0,3.0,0.0,1435.0,594.0,Unknown
11.0,1.0,2.0,10279.0,14671.0,2440.0,34232.0,2326.0,3.0,0.0,526.0,437.0,Unknown
12.0,0.0,10.0,4706.0,9359.0,3043.0,174024661.0,1443.0,3.0,0.0,1848.0,671.0,2084N0400X
13.0,0.0,2.0,8962.0,8540.0,2737.0,66614.0,1504.0,3.0,0.0,1469.0,729.0,Unknown
14.0,0.0,9.0,10192.0,8496.0,1833.0,94558.0,1476.0,3.0,0.0,304.0,1177.0,Unknown
15.0,1.0,2.0,13289.0,14157.0,1670.0,32904.0,2216.0,3.0,0.0,2606.0,637.0,Unknown
16.0,1.0,2.0,4632.0,5928.0,3060.0,18302395.803164296,1070.0,3.0,0.0,526.0,437.0,Unknown
17.0,1.0,2.0,11647.0,11503.0,22.0,87109.0,31.0,3.0,0.0,1669.0,1692.0,Unknown
18.0,0.0,2.0,12886.0,6464.0,2739.0,90501.0,1531.0,3.0,0.0,545.0,326.0,Unknown
